"DATE","TIME PERIOD","Gross domestic product at market prices (MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N)"
"1995-03-31","1995Q1","1413598.33"
"1995-06-30","1995Q2","1430894.59"
"1995-09-30","1995Q3","1452807.95"
"1995-12-31","1995Q4","1467155.77"
"1996-03-31","1996Q1","1480392.81"
"1996-06-30","1996Q2","1497742.50"
"1996-09-30","1996Q3","1511681.80"
"1996-12-31","1996Q4","1517068.43"
"1997-03-31","1997Q1","1515044.33"
"1997-06-30","1997Q2","1529367.14"
"1997-09-30","1997Q3","1543935.38"
"1997-12-31","1997Q4","1568615.92"
"1998-03-31","1998Q1","1575719.30"
"1998-06-30","1998Q2","1590590.49"
"1998-09-30","1998Q3","1606580.06"
"1998-12-31","1998Q4","1627757.35"
"1999-03-31","1999Q1","1648057.44"
"1999-06-30","1999Q2","1659405.48"
"1999-09-30","1999Q3","1682649.09"
"1999-12-31","1999Q4","1705665.63"
"2000-03-31","2000Q1","1735900.46"
"2000-06-30","2000Q2","1755703.51"
"2000-09-30","2000Q3","1776921.75"
"2000-12-31","2000Q4","1795504.10"
"2001-03-31","2001Q1","1828905.82"
"2001-06-30","2001Q2","1841626.77"
"2001-09-30","2001Q3","1856550.40"
"2001-12-31","2001Q4","1870628.98"
"2002-03-31","2002Q1","1887300.53"
"2002-06-30","2002Q2","1903392.94"
"2002-09-30","2002Q3","1924897.21"
"2002-12-31","2002Q4","1937407.23"
"2003-03-31","2003Q1","1944305.29"
"2003-06-30","2003Q2","1956550.50"
"2003-09-30","2003Q3","1981567.84"
"2003-12-31","2003Q4","1998688.15"
"2004-03-31","2004Q1","2019079.94"
"2004-06-30","2004Q2","2043941.31"
"2004-09-30","2004Q3","2058223.40"
"2004-12-31","2004Q4","2079006.01"
"2005-03-31","2005Q1","2091756.93"
"2005-06-30","2005Q2","2114369.12"
"2005-09-30","2005Q3","2140973.95"
"2005-12-31","2005Q4","2169986.24"
"2006-03-31","2006Q1","2195913.27"
"2006-06-30","2006Q2","2234510.70"
"2006-09-30","2006Q3","2259888.54"
"2006-12-31","2006Q4","2298041.47"
"2007-03-31","2007Q1","2334232.18"
"2007-06-30","2007Q2","2360435.84"
"2007-09-30","2007Q3","2381939.67"
"2007-12-31","2007Q4","2409810.58"
"2008-03-31","2008Q1","2437426.85"
"2008-06-30","2008Q2","2442070.71"
"2008-09-30","2008Q3","2435319.28"
"2008-12-31","2008Q4","2401286.43"
"2009-03-31","2009Q1","2335770.45"
"2009-06-30","2009Q2","2336023.47"
"2009-09-30","2009Q3","2346692.85"
"2009-12-31","2009Q4","2362689.68"
"2010-03-31","2010Q1","2374651.27"
"2010-06-30","2010Q2","2401502.25"
"2010-09-30","2010Q3","2421194.33"
"2010-12-31","2010Q4","2439748.94"
"2011-03-31","2011Q1","2471764.52"
"2011-06-30","2011Q2","2476646.44"
"2011-09-30","2011Q3","2485657.60"
"2011-12-31","2011Q4","2484684.83"
"2012-03-31","2012Q1","2488184.47"
"2012-06-30","2012Q2","2485886.38"
"2012-09-30","2012Q3","2492779.21"
"2012-12-31","2012Q4","2487318.52"
"2013-03-31","2013Q1","2492296.74"
"2013-06-30","2013Q2","2514153.18"
"2013-09-30","2013Q3","2525694.20"
"2013-12-31","2013Q4","2533282.08"
"2014-03-31","2014Q1","2556424.08"
"2014-06-30","2014Q2","2567465.51"
"2014-09-30","2014Q3","2583176.80"
"2014-12-31","2014Q4","2600961.60"
"2015-03-31","2015Q1","2633600.55"
"2015-06-30","2015Q2","2656137.26"
"2015-09-30","2015Q3","2676107.57"
"2015-12-31","2015Q4","2692516.48"
"2016-03-31","2016Q1","2713659.35"
"2016-06-30","2016Q2","2723342.33"
"2016-09-30","2016Q3","2744113.21"
"2016-12-31","2016Q4","2767038.58"
"2017-03-31","2017Q1","2797115.56"
"2017-06-30","2017Q2","2830512.96"
"2017-09-30","2017Q3","2857207.50"
"2017-12-31","2017Q4","2892267.98"
"2018-03-31","2018Q1","2904942.65"
"2018-06-30","2018Q2","2926203.21"
"2018-09-30","2018Q3","2943291.40"
"2018-12-31","2018Q4","2976378.08"
"2019-03-31","2019Q1","3007559.84"
"2019-06-30","2019Q2","3027362.98"
"2019-09-30","2019Q3","3047792.45"
"2019-12-31","2019Q4","3063624.67"
"2020-03-31","2020Q1","2979577.47"
"2020-06-30","2020Q2","2676860.28"
"2020-09-30","2020Q3","2959075.99"
"2020-12-31","2020Q4","2990282.15"
"2021-03-31","2021Q1","3028513.20"
"2021-06-30","2021Q2","3106057.82"
"2021-09-30","2021Q3","3199159.91"
"2021-12-31","2021Q4","3262894.52"
"2022-03-31","2022Q1","3327890.52"
"2022-06-30","2022Q2","3400564.19"
"2022-09-30","2022Q3","3462658.12"
"2022-12-31","2022Q4","3524878.93"
"2023-03-31","2023Q1","3593632.66"
"2023-06-30","2023Q2","3638376.21"
"2023-09-30","2023Q3","3665653.88"
"2023-12-31","2023Q4","3708490.11"
"2024-03-31","2024Q1","3740133.81"
"2024-06-30","2024Q2","3765329.68"
"2024-09-30","2024Q3","3802454.03"
"2024-12-31","2024Q4","3842814.32"
