"Anvandningstyp","Tid","TAB4553"
"BNPM","1981K1",..
"BNPM","1981K2",..
"BNPM","1981K3",..
"BNPM","1981K4",..
"BNPM","1982K1",..
"BNPM","1982K2",..
"BNPM","1982K3",..
"BNPM","1982K4",..
"BNPM","1983K1",..
"BNPM","1983K2",..
"BNPM","1983K3",..
"BNPM","1983K4",..
"BNPM","1984K1",..
"BNPM","1984K2",..
"BNPM","1984K3",..
"BNPM","1984K4",..
"BNPM","1985K1",..
"BNPM","1985K2",..
"BNPM","1985K3",..
"BNPM","1985K4",..
"BNPM","1986K1",..
"BNPM","1986K2",..
"BNPM","1986K3",..
"BNPM","1986K4",..
"BNPM","1987K1",..
"BNPM","1987K2",..
"BNPM","1987K3",..
"BNPM","1987K4",..
"BNPM","1988K1",..
"BNPM","1988K2",..
"BNPM","1988K3",..
"BNPM","1988K4",..
"BNPM","1989K1",..
"BNPM","1989K2",..
"BNPM","1989K3",..
"BNPM","1989K4",..
"BNPM","1990K1",..
"BNPM","1990K2",..
"BNPM","1990K3",..
"BNPM","1990K4",..
"BNPM","1991K1",..
"BNPM","1991K2",..
"BNPM","1991K3",..
"BNPM","1991K4",..
"BNPM","1992K1",..
"BNPM","1992K2",..
"BNPM","1992K3",..
"BNPM","1992K4",..
"BNPM","1993K1",405577
"BNPM","1993K2",408963
"BNPM","1993K3",417602
"BNPM","1993K4",421416
"BNPM","1994K1",429283
"BNPM","1994K2",435394
"BNPM","1994K3",441690
"BNPM","1994K4",454553
"BNPM","1995K1",467289
"BNPM","1995K2",473803
"BNPM","1995K3",477949
"BNPM","1995K4",485200
"BNPM","1996K1",492573
"BNPM","1996K2",481762
"BNPM","1996K3",492600
"BNPM","1996K4",490839
"BNPM","1997K1",499823
"BNPM","1997K2",508766
"BNPM","1997K3",514113
"BNPM","1997K4",527291
"BNPM","1998K1",529324
"BNPM","1998K2",534544
"BNPM","1998K3",539551
"BNPM","1998K4",550941
"BNPM","1999K1",555080
"BNPM","1999K2",558593
"BNPM","1999K3",568460
"BNPM","1999K4",581443
"BNPM","2000K1",583215
"BNPM","2000K2",601022
"BNPM","2000K3",610902
"BNPM","2000K4",613602
"BNPM","2001K1",619889
"BNPM","2001K2",625147
"BNPM","2001K3",626347
"BNPM","2001K4",636261
"BNPM","2002K1",642224
"BNPM","2002K2",650748
"BNPM","2002K3",653621
"BNPM","2002K4",659515
"BNPM","2003K1",673020
"BNPM","2003K2",670324
"BNPM","2003K3",679559
"BNPM","2003K4",683828
"BNPM","2004K1",695461
"BNPM","2004K2",702164
"BNPM","2004K3",711033
"BNPM","2004K4",711950
"BNPM","2005K1",714247
"BNPM","2005K2",723949
"BNPM","2005K3",737998
"BNPM","2005K4",744744
"BNPM","2006K1",759700
"BNPM","2006K2",774162
"BNPM","2006K3",784382
"BNPM","2006K4",798359
"BNPM","2007K1",811465
"BNPM","2007K2",825592
"BNPM","2007K3",828088
"BNPM","2007K4",848877
"BNPM","2008K1",850294
"BNPM","2008K2",850559
"BNPM","2008K3",851038
"BNPM","2008K4",837383
"BNPM","2009K1",828337
"BNPM","2009K2",826943
"BNPM","2009K3",830474
"BNPM","2009K4",838609
"BNPM","2010K1",857846
"BNPM","2010K2",877032
"BNPM","2010K3",894430
"BNPM","2010K4",913757
"BNPM","2011K1",920685
"BNPM","2011K2",924721
"BNPM","2011K3",933724
"BNPM","2011K4",919840
"BNPM","2012K1",925896
"BNPM","2012K2",931735
"BNPM","2012K3",934803
"BNPM","2012K4",935563
"BNPM","2013K1",939877
"BNPM","2013K2",942152
"BNPM","2013K3",955416
"BNPM","2013K4",970418
"BNPM","2014K1",973087
"BNPM","2014K2",986625
"BNPM","2014K3",999766
"BNPM","2014K4",1010975
"BNPM","2015K1",1032192
"BNPM","2015K2",1057554
"BNPM","2015K3",1062467
"BNPM","2015K4",1077651
"BNPM","2016K1",1079916
"BNPM","2016K2",1090268
"BNPM","2016K3",1104176
"BNPM","2016K4",1119295
"BNPM","2017K1",1131502
"BNPM","2017K2",1139969
"BNPM","2017K3",1148222
"BNPM","2017K4",1163442
"BNPM","2018K1",1177546
"BNPM","2018K2",1193582
"BNPM","2018K3",1202394
"BNPM","2018K4",1222183
"BNPM","2019K1",1236945
"BNPM","2019K2",1255939
"BNPM","2019K3",1263520
"BNPM","2019K4",1281287
"BNPM","2020K1",1293887
"BNPM","2020K2",1190830
"BNPM","2020K3",1249174
"BNPM","2020K4",1285514
"BNPM","2021K1",1316573
"BNPM","2021K2",1339669
"BNPM","2021K3",1366653
"BNPM","2021K4",1429321
"BNPM","2022K1",1412510
"BNPM","2022K2",1454784
"BNPM","2022K3",1481022
"BNPM","2022K4",1505772
"BNPM","2023K1",1532590
"BNPM","2023K2",1542472
"BNPM","2023K3",1569027
"BNPM","2023K4",1570442
"BNPM","2024K1",1598162
"BNPM","2024K2",1599110
"BNPM","2024K3",1610131
"BNPM","2024K4",1641259
